CHAIN,WEEK,DEX,UNIQUE_USERS,SWAP_VOLUME
BSC,2022-03-14 00:00:00.000,biswap,40637,109415711.35
Optimism,2022-03-14 00:00:00.000,synthetix,255,36169.37
Optimism,2022-03-14 00:00:00.000,uniswap,3447,15664361.41
Optimism,2022-03-14 00:00:00.000,curve,218,"null"
Polygon,2022-03-14 00:00:00.000,curve,3824,13097825.31
Polygon,2022-03-14 00:00:00.000,balancer,36369,57158541.85
Polygon,2022-03-14 00:00:00.000,uniswap,47745,280730289.02
Polygon,2022-03-14 00:00:00.000,quickswap,92452,197214979.98
Polygon,2022-03-14 00:00:00.000,hashflow,2051,28158621.27
Polygon,2022-03-14 00:00:00.000,dodo,16381,36093553.65
Polygon,2022-03-14 00:00:00.000,kyberswap,38724,12187130.92
Polygon,2022-03-14 00:00:00.000,sushiswap,28784,41919561.21
Arbitrum,2022-03-21 00:00:00.000,hashflow,234,"null"
Arbitrum,2022-03-21 00:00:00.000,sushiswap,8749,101583130.38
Arbitrum,2022-03-21 00:00:00.000,balancer,1710,3448267.93
Arbitrum,2022-03-21 00:00:00.000,gmx,354,8028382.85
Arbitrum,2022-03-21 00:00:00.000,curve,416,5459650.79
Arbitrum,2022-03-21 00:00:00.000,uniswap,5803,25764355.48
Arbitrum,2022-03-21 00:00:00.000,dodo,127,93014.98
Avalanche,2022-03-21 00:00:00.000,curve,2621,98550134.97
Avalanche,2022-03-21 00:00:00.000,trader joe,102489,773752254.37
Avalanche,2022-03-21 00:00:00.000,sushiswap,6640,2445632.84
Avalanche,2022-03-21 00:00:00.000,kyberswap,4297,49167573.64
Avalanche,2022-03-21 00:00:00.000,woofi,560,13363025.82
Avalanche,2022-03-21 00:00:00.000,pangolin,19030,96096894.75
Avalanche,2022-03-21 00:00:00.000,platypus,3121,697286572.17
Avalanche,2022-03-21 00:00:00.000,gmx,458,33146748.85
BSC,2022-03-21 00:00:00.000,pancakeswap,1234081,1278559625.02
BSC,2022-03-21 00:00:00.000,kyberswap,1493,1765538.85
BSC,2022-03-21 00:00:00.000,hashflow,1529,"null"
BSC,2022-03-21 00:00:00.000,biswap,60957,303172585.37
BSC,2022-03-21 00:00:00.000,sushiswap,5103,447822.3
BSC,2022-03-21 00:00:00.000,dodo,9540,1030167
BSC,2022-03-21 00:00:00.000,woofi,1541,"null"
Optimism,2022-03-21 00:00:00.000,curve,201,"null"
Optimism,2022-03-21 00:00:00.000,uniswap,5074,15890069.27
Optimism,2022-03-21 00:00:00.000,synthetix,204,1256.15
Polygon,2022-03-21 00:00:00.000,uniswap,54703,382946440.72
Polygon,2022-03-21 00:00:00.000,curve,2933,15267727.47
